store_id,name,address,city,country,postcode,region,email,phone,link,image,latitude,longitude,status,updated_at,created_at,schedule,station,description,intro,details_image,distance,external_link
1,Harrods,87-135 Brompton Rd,London,GB,SW1X 7XL,London,customer.services@harrods.com,+44 (0) 20  7730 1234,harrods,/c/i/city-q-c-380-380-6.jpeg,51.499394,-0.163245,1,2017-03-30 16:36:26,2017-03-30 13:43:49,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Waterloo,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,5km,
1,Fortnum and Mason,42 Jermyn St,London,GB,SW1Y 6DN,London,,+44 (0)20 7734 8040,fortnumandmason,/c/i/city-q-c-380-380-6.jpeg,51.508383,-0.138448,1,2017-03-30 16:37:21,2017-03-30 13:43:49,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",London Bridge,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,2km,
1,Harvey Nichols,109-125 Knightsbridge,London,GB,SW1X 7RJ,London,,,internal1,/c/i/city-q-c-380-380-6.jpeg,51.50164,-0.159641,1,2017-03-30 13:43:49,2017-03-30 13:43:49,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",London Bridge,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Selfridges,400 Oxford St,Marylebone,GB,W1U 1AB,London,,,internal2,/c/i/city-q-c-380-380-6.jpeg,51.514577,-0.153117,1,2017-03-30 13:43:49,2017-03-30 13:43:49,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",London Bridge,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,John Lewis,278-306 Oxford St,Marylebone,GB,W1C 1DX,London,,,internal3,/c/i/city-q-c-380-380-6.jpeg,51.515493,-0.1453,1,2017-03-30 13:43:49,2017-03-30 13:43:49,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",London Bridge,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Peter Jones,Sloane Square,London,GB,SW1W 8EL,London,,,internal4,/c/i/city-q-c-380-380-6.jpeg,51.49227,-0.15897,1,2017-03-30 13:43:49,2017-03-30 13:43:49,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",London Bridge,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,John Lewis,Brent Cross Shopping Centre,Hendon ,GB,W1C 1DX,London,,,internal5,/c/i/city-q-c-380-380-6.jpeg,51.575799,-0.225563,1,2017-03-30 13:43:49,2017-03-30 13:43:49,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",London Bridge,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,John Lewis,Wilmslow Rd,Cheadle,GB,SK8 3BZ,Cheshire,,,internal6,/c/i/city-q-c-380-380-6.jpeg,53.375256,-2.214323,1,2017-03-30 13:43:49,2017-03-30 13:43:49,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",London Bridge,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,John Lewis,"Intu Trafford Centre, Peel Avenue",Manchester,GB,M17 8JL,Manchester,,,internal7,/c/i/city-q-c-380-380-6.jpeg,53.463341,-2.345446,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",London Bridge,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,John Lewis,"Cressex Centre, Holmers Farm Way",High Wycombe,GB,HP12 4NW,Bucks,,,internal8,/c/i/city-q-c-380-380-6.jpeg,51.610948,-0.783163,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Fenwick,63 New Bond St,Mayfair,GB,W1A 1RQ,London,,,internal9,/c/i/city-q-c-380-380-6.jpeg,51.513232,-0.145109,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Fenwick (Bentalls),Wood St,Kingston Upon Thames,GB,KY1  1TX,Surrey,,,internal10,/c/i/city-q-c-380-380-6.jpeg,51.411935,-0.304815,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Fenwick,10-11 King Edward St,Windsor,GB,SL4 1TF,West Berkshire,,,internal11,/c/i/city-q-c-380-380-6.jpeg,51.481521,-0.611753,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Neiman Marcus Direct,5950 Colwell Blvd,Irving,US,TX 75039,Texas,,,internal12,/c/i/city-q-c-380-380-6.jpeg,32.888239,-96.93962,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Scully & Scully,504 Park Avenue,New York,US,NY 10022,New York,,,internal13,/c/i/city-q-c-380-380-6.jpeg,40.763368,-73.969965,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Gumps,135 Post St,San Francisco,US,CA 94108,California,,,internal14,/c/i/city-q-c-380-380-6.jpeg,37.788649,-122.404327,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Getty Museum,1200 Getty Center Drive,Los Angeles,US,CA 90049,California,,,internal15,/c/i/city-q-c-380-380-6.jpeg,34.079161,-118.475162,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Bluck's Bermuda,4 Front St,Hamilton,US,,Bermuda,,,internal16,/c/i/city-q-c-380-380-6.jpeg,32.291761,-64.786463,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,London Jewelers: 1,2046 Northern Blvd,Manhasset,US,NY 11030,New York,,,internal17,/c/i/city-q-c-380-380-6.jpeg,40.795932,-73.671691,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,London Jewelers: 2,180 Wheatley Plaza,Greenvale,US,NY 11548,New York,,,internal18,/c/i/city-q-c-380-380-6.jpeg,40.809682,-73.62729,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
1,Hamilton Jewelers: 3,215 Worth Ave,Palm Beach ,US,FL 33480,Florida,,,internal19,/c/i/city-q-c-380-380-6.jpeg,26.701048,-80.037162,1,2017-03-30 13:43:50,2017-03-30 13:43:50,"Monday to Thursday 8:00 - 18:30\n
Friday 8:00 - 19:00\n
Saturday 8:30 -19:00\n
Sunday 11:00 - 17:30",Camden,This is the description. you can insert text here.,This is the intro. you can insert text here.,/c/i/city-q-c-720-720-3.jpg,,
